Material;Descrição;Status;PP_TIPO_SACO_COLADO;PP_ALTURA_UTIL;PP_FACE;PP_PATCH;PP_FUNDO;PP_FUNDO_INF;PP_VALVULA;PP_PERFURADO_TUBEIRA;PP_PERFURADO_COLADEIRA;PP_FUROS_COLADEIRA;PP_DIAMETRO_FUROS_COLADEI;PP_NUMERO_FOLHAS;PP_PAPEL_EXTERNO;PP_GRAMATURA_EXTERNO;PP_PAPEL_2;PP_GRAMATURA_2;PP_PAPEL_3;PP_GRAMATURA_3;PP_PAPEL_4;PP_GRAMATURA_4;PP_PAPEL_5;PP_GRAMATURA_5;PP_PAPEL_INTERNO;PP_GRAMATURA_INTERNO;PP_TIP_PERF_FOL_EXT;PP_TIP_PERF_FOL_2;PP_TIP_PERF_FOL_3;PP_TIP_PERF_FOL_4;PP_TIP_PERF_FOL_5;PP_TIP_PERF_FOL_INT;PP_LARGURA_PEAD;PP_PERMEANCIA
803181;COLVA 106X75 YACUSES IF30 3250053;L;COLVA;610;520;N;115;115;115;S;N;;;2;SAK;90;;;;;;;;;SAK;90;NÃO PERFURAR;;;;;NANO PERF TOT;;100
803835;COLME 102x73 300000652 172NSCR TST;L;COLME;560;500;T;140;140;140;N;N;;;2;SBK;83;;;;;;;;;SAK;86;;;;;;;1010;120
804313;COLMI 91X67  BG BO BONE GEM;L;COLMI;495;445;X;140;140;140;N;N;;;3;SBK;83;PAS;10;;;;;;;SAK;85;;;;;;;900;6
805130;COLME 111X82 PO CACAU 50LBS NORMAL 41729;L;COLME;565;545;T;220;220;140;S;N;;;3;SAK;86;SPE;101;;;;;;;SAK;86;NÃO PERFURAR;MIC PERF TOTAL;;;;NÃO PERFURAR;;45
805351;COLMI 84x61 95460666 60 EVERC SAND MIX;L;COLMI;460;410;X;115;115;115;S;N;;;3;SAK;85;PAX;10;;;;;;;SAK;85;NÃO PERFURAR;NÃO PERFURAR;;;;MIC PERF TOTAL;830;40
805600;COLME 114x85 CARBON BLACK C182 378D TST;L;COLME;610;560;C;205;205;140;N;N;;;3;SAK;85;PAS;30;;;;;;;SAK;85;;;;;;;1130;15
805617;COLVA 80x52 CALCAR AGRICOL 20kg TST;L;COLVA;385;390;X;100;100;100;S;N;;;3;SDK;70;PAX;8;;;;;;;SAK;60;NÃO PERFURAR;NÃO PERFURAR;;;;NANO PERF TOT;790;18
805624;COLME 104x82 CARBON BLACK C182 386E TST;L;COLME;610;510;C;170;170;140;N;N;;;2;SAK;90;;;;;;;;;SAK;90;;;;;;;;80
805739;COLVA 98x73 TI SOL 42,5KG 08-00000120;L;COLVA;590;480;X;105;105;105;S;N;;;3;SAK;90;PAX;8;;;;;;;SAK;90;MIC PERF TOTAL;NÃO PERFURAR;;;;MIC PERF TOTAL;970;50
805840;COLMI  95X69 80214705 TAU MOD;L;COLMI;535;460;X;120;120;120;S;N;;;3;SAK;85;PAX;10;;;;;;;SAK;75;MIC PERF TOTAL;NÃO PERFURAR;;;;MIC PERF TOTAL;930;60
805956;COLMI 109x74 50LB 300029596 100999;L;COLMI;570;530;T;140;140;140;N;N;;;2;SAK;86;;;;;;;;;SAK;86;;;;;;;;120
